Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,36,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Laki-Laki,42,Ya,3,1,Tidak Ada,1,Milik sendiri,1,Kota,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Lainnya,Lainnya,Kayu/Papan,12,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,46,Ya,1,Tidak Ada,1,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,300,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Tidak,Laki-Laki,34,Ya,2,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,72,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Laki-Laki,47,Ya,4,2,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SMA,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,42,Listrik,LPG 3Kg,Leding,Ya,Ya,Laki-Laki,39,Ya,5 atau lebih,3 atau lebih,Tidak Ada,Tidak Ada,Bebas Sewa,Tidak Ada,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,48,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Perempuan,81,Tidak,1,Tidak Ada,1,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SD,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,24,Listrik,LPG 3Kg,Sumur bor/pompa,Tidak,Ya,Laki-Laki,49,Ya,4,1,Tidak Ada,2 atau lebih,Kontrak/sewa,1,Kota,Tidak
Rawan,Tidak Sekolah,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,50,Listrik,Kayu Bakar,Lainnya,Tidak,Tidak,Perempuan,58,Ya,2,Tidak Ada,1,Tidak Ada,Kontrak/sewa,Tidak Ada,Desa,Tidak
Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,18,Listrik,Kayu Bakar,Lainnya,Ya,Tidak,Perempuan,62,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,30,Listrik,Kayu Bakar,Lainnya,Tidak,Ya,Laki-Laki,53,Ya,5 atau lebih,Tidak Ada,Tidak Ada,2 atau lebih,Milik sendiri,Tidak Ada,Kota,Tidak
